Task,Metric,DifficultyComparison,W,p-value,EgoDifference,ExoDifference
seperating,MeanDPrime,EASY vs HARD,73.0,0.6094589233398438,-1.6988584938090994,-1.8046843023843615
seperating,MeanDPrime,MEDIUM vs HARD,69.0,0.49507904052734375,-0.9206306787663561,-1.026839681232815
denoising,MeanBeta,EASY vs MEDIUM,73.0,0.6094589233398438,0.5733439051621932,1.0258891842123925
denoising,MeanBeta,EASY vs HARD,64.0,0.3692169189453125,0.6225446132723439,1.0937899919234257
denoising,MeanBeta,MEDIUM vs HARD,74.0,0.6396942138671875,-0.08117054864902283,-0.052809682684727424
seperating,MeanBeta,EASY vs MEDIUM,79.0,0.7987060546875,0.36144789866553184,-0.310243615988127
seperating,MeanBeta,EASY vs HARD,79.0,0.7987060546875,-0.3615289276239845,-0.584231765475531
seperating,MeanBeta,MEDIUM vs HARD,61.0,0.30379486083984375,-0.8788940065263862,0.06111946583674932
denoising,MeanSpecificity,EASY vs MEDIUM,48.0,0.17729327255318428,0.007083333333333219,0.004166666666666596
denoising,MeanSpecificity,EASY vs HARD,76.0,0.7018814086914062,0.010923076923076869,0.006000000000000005
denoising,MeanSpecificity,MEDIUM vs HARD,66.0,0.4171142578125,0.0006923076923077143,-0.0007500000000000284
seperating,MeanSpecificity,EASY vs MEDIUM,79.0,0.7987060546875,-0.02200000000000002,-0.027000000000000024
seperating,MeanSpecificity,EASY vs HARD,78.0,0.7438909187552948,-0.06800000000000006,-0.0729999999999999
seperating,MeanSpecificity,MEDIUM vs HARD,76.0,0.7018814086914062,-0.04299999999999998,-0.046999999999999986
denoising,MeanTruePositive,EASY vs MEDIUM,70.0,0.522613525390625,-4.099999999999994,-3.9000000000000057
denoising,MeanTruePositive,EASY vs HARD,81.5,0.8616909367394272,-3.6999999999999957,-4.299999999999997
denoising,MeanTruePositive,MEDIUM vs HARD,68.0,0.44592776707070914,-0.9000000000000057,0.10000000000000142
seperating,MeanTruePositive,EASY vs MEDIUM,29.5,0.026067633953717202,-2.6000000000000014,-1.6000000000000085
seperating,MeanTruePositive,EASY vs HARD,56.5,0.34362479274120517,-8.600000000000001,-7.300000000000004
seperating,MeanTruePositive,MEDIUM vs HARD,67.0,0.44229888916015625,-5.600000000000001,-6.0
denoising,MeanFalsePositive,EASY vs MEDIUM,55.5,0.320106280731166,8.2,5.3
denoising,MeanFalsePositive,EASY vs HARD,28.0,0.010406494140625,18.3,12.0
denoising,MeanFalsePositive,MEDIUM vs HARD,29.0,0.01203155517578125,10.5,6.6
seperating,MeanFalsePositive,EASY vs MEDIUM,78.0,0.7439202218465143,2.2,2.6999999999999997
seperating,MeanFalsePositive,EASY vs HARD,77.5,0.7275066490948026,6.8,7.300000000000001
seperating,MeanFalsePositive,MEDIUM vs HARD,76.0,0.7018814086914062,4.3,4.7
