TIMESTAMP,UserID,TaskID,ViewingCondition,Task,Difficulty,TaskPhase,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount,Precision,Recall,Accuracy,F1Score,CompletionTime
2649.374,1,64,EGOCENTRIC,seperating,EASY,test,100,0,100,0,0.5,1,0.5,0.6666667,0.6000977
2677.94,1,65,EGOCENTRIC,seperating,HARD,test,83,18,82,17,0.5030303,0.83,0.505,0.6264151,27.8335
2922.557,1,66,EGOCENTRIC,seperating,MEDIUM,test,84,21,79,16,0.5153374,0.84,0.525,0.6387833,31.8501
2968.241,1,67,EGOCENTRIC,seperating,HARD,test,74,27,73,26,0.5034013,0.74,0.505,0.5991903,44.8667
2977.857,1,68,EGOCENTRIC,seperating,MEDIUM,test,100,13,87,0,0.5347593,1,0.565,0.6968641,8.416748
2992.541,1,69,EGOCENTRIC,seperating,HARD,test,86,10,90,14,0.4886364,0.86,0.48,0.6231884,13.7334
3013.324,1,70,EGOCENTRIC,seperating,MEDIUM,test,87,7,93,13,0.4833333,0.87,0.47,0.6214285,20
3020.641,1,71,EGOCENTRIC,seperating,MEDIUM,test,96,3,97,4,0.4974093,0.96,0.495,0.6552901,6.68335
3025.624,1,72,EGOCENTRIC,seperating,EASY,test,97,7,93,3,0.5105263,0.97,0.52,0.6689655,4.25
353.5038,2,1,EGOCENTRIC,seperating,EASY,training,100,97,3,0,0.9708738,1,0.985,0.9852216,241.7336
407.8372,2,2,EGOCENTRIC,seperating,EASY,training,100,100,0,0,1,1,1,1,46.65002
573.4375,2,3,EGOCENTRIC,seperating,MEDIUM,training,98,89,11,2,0.8990825,0.98,0.935,0.937799,163.3503
813.2544,2,4,EGOCENTRIC,seperating,HARD,test,95,86,14,5,0.8715596,0.95,0.905,0.9090909,229.7001
918.4213,2,5,EGOCENTRIC,seperating,HARD,test,80,90,10,20,0.8888889,0.8,0.85,0.8421053,103.4835
979.4047,2,6,EGOCENTRIC,seperating,EASY,test,99,99,1,1,0.99,0.99,0.99,0.99,59.68335
1044.938,2,7,EGOCENTRIC,seperating,MEDIUM,test,100,62,38,0,0.7246377,1,0.81,0.8403361,64.38342
1115.005,2,8,EGOCENTRIC,seperating,EASY,test,100,97,3,0,0.9708738,1,0.985,0.9852216,69.13342
1160.772,2,9,EGOCENTRIC,seperating,MEDIUM,test,96,96,4,4,0.96,0.96,0.96,0.96,44.4668
1261.555,2,10,EGOCENTRIC,seperating,MEDIUM,test,93,99,1,7,0.9893617,0.93,0.96,0.9587629,99.75024
1314.572,2,11,EGOCENTRIC,seperating,MEDIUM,test,95,99,1,5,0.9895833,0.95,0.97,0.9693877,50.30005
1541.755,2,12,EGOCENTRIC,seperating,HARD,test,91,95,5,9,0.9479167,0.91,0.93,0.9285715,103.8835
1565.656,2,13,EGOCENTRIC,seperating,EASY,test,94,100,0,6,1,0.94,0.97,0.9690722,22.70007
1611.572,2,14,EGOCENTRIC,seperating,EASY,test,99,97,3,1,0.9705882,0.99,0.98,0.980198,45.03333
1657.906,2,15,EGOCENTRIC,seperating,MEDIUM,test,94,100,0,6,1,0.94,0.97,0.9690722,45.31665
1688.989,2,16,EGOCENTRIC,seperating,EASY,test,100,100,0,0,1,1,1,1,29.83337
1799.372,2,17,EGOCENTRIC,seperating,HARD,test,93,95,5,7,0.9489796,0.93,0.94,0.9393939,109.1667
