TIMESTAMP,UserID,TaskID,DistanceToA,ViewingAngleA,DistanceToB,ViewingAngleB,UserPositionX,UserPositionY,UserPositionZ
1521.237,11,23,4.111659,-4.119939,0,0,0,0,0
1521.737,11,23,3.936474,-4.575088,0,0,0,0,0
1522.237,11,23,3.906717,-4.510324,0,0,0,0,0
1522.737,11,23,3.906717,-4.510324,0,0,0,0,0
1523.237,11,23,3.906717,-4.510324,0,0,0,0,0
1523.737,11,23,3.906717,-4.510324,0,0,0,0,0
1524.237,11,23,3.906717,-4.510324,0,0,0,0,0
1524.737,11,23,3.906717,-4.510324,0,0,0,0,0
1525.237,11,23,3.906717,-4.510324,0,0,0,0,0
1525.737,11,23,3.906717,-4.510324,0,0,0,0,0
1526.237,11,23,3.910202,-4.643466,0,0,0,0,0
1526.737,11,23,3.931153,-4.619019,0,0,0,0,0
1527.237,11,23,3.935717,-4.613715,0,0,0,0,0
1527.737,11,23,4.433605,-4.093473,0,0,0,0,0
1528.237,11,23,5.181311,-3.500901,0,0,0,0,0
1528.737,11,23,5.829772,-3.110554,0,0,0,0,0
1529.237,11,23,5.984512,-3.047289,0,0,0,0,0
1529.737,11,23,6.092041,-2.992055,0,0,0,0,0
1530.237,11,23,5.743934,-3.532913,0,0,0,0,0
1530.737,11,23,5.599029,-2.647893,0,0,0,0,0
1531.237,11,23,5.599029,-2.647893,0,0,0,0,0
1531.737,11,23,5.496685,0.5757331,0,0,0,0,0
1532.237,11,23,5.583429,2.478756,0,0,0,0,0
1532.737,11,23,5.619137,2.837315,0,0,0,0,0
1533.237,11,23,5.319571,2.997285,0,0,0,0,0
1533.737,11,23,4.570763,3.488856,0,0,0,0,0
1534.237,11,23,3.822474,4.17298,0,0,0,0,0
1534.737,11,23,3.074966,5.189917,0,0,0,0,0
1535.237,11,23,2.75124,5.802553,0,0,0,0,0
1535.737,11,23,2.691775,4.575002,0,0,0,0,0
1536.237,11,23,2.627597,1.799832,0,0,0,0,0
1536.737,11,23,2.618277,0.5406791,0,0,0,0,0
1537.237,11,23,2.617764,0.358274,0,0,0,0,0
1537.737,11,23,2.617764,0.358274,0,0,0,0,0
1538.237,11,23,2.617923,0.358274,0,0,0,0,0
1538.737,11,23,2.617923,0.358274,0,0,0,0,0
1539.237,11,23,2.617923,0.358274,0,0,0,0,0
1539.737,11,23,2.675395,4.092229,0,0,0,0,0
1540.237,11,23,2.742622,5.653918,0,0,0,0,0
1540.737,11,23,2.742622,5.653918,0,0,0,0,0
1541.237,11,23,2.744776,5.690578,0,0,0,0,0
1541.737,11,23,2.746944,5.726868,0,0,0,0,0
1542.237,11,23,2.746944,5.726868,0,0,0,0,0
1542.737,11,23,2.746944,5.726868,0,0,0,0,0
1543.237,11,23,2.746944,5.726868,0,0,0,0,0
1543.737,11,23,2.622083,1.203172,0,0,0,0,0
1544.237,11,23,2.627941,-1.695583,0,0,0,0,0
1544.737,11,23,2.654042,-2.364716,0,0,0,0,0
1545.237,11,23,2.658578,2.622266,0,0,0,0,0
1545.737,11,23,2.702822,4.398815,0,0,0,0,0
1546.237,11,23,2.702822,4.398815,0,0,0,0,0
1546.737,11,23,2.702822,4.398815,0,0,0,0,0
1547.237,11,23,2.702822,4.398815,0,0,0,0,0
1547.737,11,23,2.756458,4.320827,0,0,0,0,0
1548.237,11,23,2.936289,4.636162,0,0,0,0,0
1548.737,11,23,3.130074,4.510844,0,0,0,0,0
1549.237,11,23,3.33793,2.443685,0,0,0,0,0
1549.737,11,23,3.361418,-0.7810954,0,0,0,0,0
1550.237,11,23,3.361418,-0.7810954,0,0,0,0,0
1550.737,11,23,3.361418,-0.7810954,0,0,0,0,0
1551.237,11,23,3.361418,-0.7810954,0,0,0,0,0
1551.737,11,23,3.134139,-6.300425,0,0,0,0,0
1552.237,11,23,2.985536,-6.888374,0,0,0,0,0
1552.737,11,23,2.867347,-6.852231,0,0,0,0,0
1553.237,11,23,2.695415,-4.311571,0,0,0,0,0
1553.737,11,23,2.695415,-4.311571,0,0,0,0,0
1554.237,11,23,2.695415,-4.311571,0,0,0,0,0
1554.737,11,23,2.755787,-3.697558,0,0,0,0,0
1555.237,11,23,2.865825,-3.447533,0,0,0,0,0
1555.737,11,23,2.810572,-3.42737,0,0,0,0,0
1556.237,11,23,2.817207,-3.264468,0,0,0,0,0
1556.737,11,23,2.853455,-3.225069,0,0,0,0,0
1557.237,11,23,2.853455,-3.225069,0,0,0,0,0
1557.737,11,23,2.853455,-3.225069,0,0,0,0,0
1558.237,11,23,2.853455,-3.225069,0,0,0,0,0
1558.737,11,23,2.853455,-3.225069,0,0,0,0,0
1559.237,11,23,2.853455,-3.225069,0,0,0,0,0
